,Date,Survey,Borough,Measure,Proportion,MPS
857,9/30/2015,PAS,Richmond upon Thames,Treat everyone fairly,0.75,0.74
858,9/30/2015,PAS,Southwark,Treat everyone fairly,0.72,0.74
859,9/30/2015,PAS,Sutton,Treat everyone fairly,0.75,0.74
860,9/30/2015,PAS,Tower Hamlets,Treat everyone fairly,0.74,0.74
861,9/30/2015,PAS,Waltham Forest,Treat everyone fairly,0.77,0.74
862,9/30/2015,PAS,Wandsworth,Treat everyone fairly,0.72,0.74
863,9/30/2015,PAS,City of Westminster,Treat everyone fairly,0.79,0.74
864,9/30/2015,PAS,Barking and Dagenham,Understand issues,0.71,0.72
865,9/30/2015,PAS,Barnet,Understand issues,0.64,0.72
866,9/30/2015,PAS,Bexley,Understand issues,0.75,0.72
867,9/30/2015,PAS,Brent,Understand issues,0.66,0.72
868,9/30/2015,PAS,Bromley,Understand issues,0.66,0.72
869,9/30/2015,PAS,Camden,Understand issues,0.73,0.72
870,9/30/2015,PAS,Croydon,Understand issues,0.65,0.72
871,9/30/2015,PAS,Ealing,Understand issues,0.69,0.72
872,9/30/2015,PAS,Enfield,Understand issues,0.6,0.72
873,9/30/2015,PAS,Greenwich,Understand issues,0.8,0.72
874,9/30/2015,PAS,Hackney,Understand issues,0.74,0.72
875,9/30/2015,PAS,Hammersmith and Fulham,Understand issues,0.74,0.72
876,9/30/2015,PAS,Haringey,Understand issues,0.74,0.72
877,9/30/2015,PAS,Harrow,Understand issues,0.69,0.72
878,9/30/2015,PAS,Havering,Understand issues,0.72,0.72
879,9/30/2015,PAS,Hillingdon,Understand issues,0.72,0.72
880,9/30/2015,PAS,Hounslow,Understand issues,0.65,0.72
881,9/30/2015,PAS,Islington,Understand issues,0.82,0.72
882,9/30/2015,PAS,Kensington and Chelsea,Understand issues,0.77,0.72
883,9/30/2015,PAS,Kingston upon Thames,Understand issues,0.74,0.72
884,9/30/2015,PAS,Lambeth,Understand issues,0.71,0.72
885,9/30/2015,PAS,Lewisham,Understand issues,0.66,0.72
886,9/30/2015,PAS,Merton,Understand issues,0.7,0.72
887,9/30/2015,PAS,Newham,Understand issues,0.72,0.72
888,9/30/2015,PAS,Redbridge,Understand issues,0.75,0.72
889,9/30/2015,PAS,Richmond upon Thames,Understand issues,0.71,0.72
890,9/30/2015,PAS,Southwark,Understand issues,0.78,0.72
891,9/30/2015,PAS,Sutton,Understand issues,0.79,0.72
892,9/30/2015,PAS,Tower Hamlets,Understand issues,0.73,0.72
893,9/30/2015,PAS,Waltham Forest,Understand issues,0.77,0.72
894,9/30/2015,PAS,Wandsworth,Understand issues,0.71,0.72
895,9/30/2015,PAS,City of Westminster,Understand issues,0.84,0.72
896,12/31/2015,PAS,Barking and Dagenham,"""Good Job"" local",0.66,0.67
897,12/31/2015,PAS,Barnet,"""Good Job"" local",0.64,0.67
898,12/31/2015,PAS,Bexley,"""Good Job"" local",0.73,0.67
899,12/31/2015,PAS,Brent,"""Good Job"" local",0.59,0.67
900,12/31/2015,PAS,Bromley,"""Good Job"" local",0.7,0.67
901,12/31/2015,PAS,Camden,"""Good Job"" local",0.7,0.67
902,12/31/2015,PAS,Croydon,"""Good Job"" local",0.57,0.67
903,12/31/2015,PAS,Ealing,"""Good Job"" local",0.66,0.67
904,12/31/2015,PAS,Enfield,"""Good Job"" local",0.58,0.67
905,12/31/2015,PAS,Greenwich,"""Good Job"" local",0.69,0.67
906,12/31/2015,PAS,Hackney,"""Good Job"" local",0.65,0.67
907,12/31/2015,PAS,Hammersmith and Fulham,"""Good Job"" local",0.75,0.67
908,12/31/2015,PAS,Haringey,"""Good Job"" local",0.54,0.67
909,12/31/2015,PAS,Harrow,"""Good Job"" local",0.59,0.67
910,12/31/2015,PAS,Havering,"""Good Job"" local",0.72,0.67
911,12/31/2015,PAS,Hillingdon,"""Good Job"" local",0.63,0.67
912,12/31/2015,PAS,Hounslow,"""Good Job"" local",0.63,0.67
913,12/31/2015,PAS,Islington,"""Good Job"" local",0.72,0.67
914,12/31/2015,PAS,Kensington and Chelsea,"""Good Job"" local",0.81,0.67
915,12/31/2015,PAS,Kingston upon Thames,"""Good Job"" local",0.74,0.67
916,12/31/2015,PAS,Lambeth,"""Good Job"" local",0.64,0.67
917,12/31/2015,PAS,Lewisham,"""Good Job"" local",0.62,0.67
918,12/31/2015,PAS,Merton,"""Good Job"" local",0.64,0.67
919,12/31/2015,PAS,Newham,"""Good Job"" local",0.67,0.67
920,12/31/2015,PAS,Redbridge,"""Good Job"" local",0.68,0.67
921,12/31/2015,PAS,Richmond upon Thames,"""Good Job"" local",0.78,0.67
922,12/31/2015,PAS,Southwark,"""Good Job"" local",0.73,0.67
923,12/31/2015,PAS,Sutton,"""Good Job"" local",0.75,0.67
924,12/31/2015,PAS,Tower Hamlets,"""Good Job"" local",0.65,0.67
925,12/31/2015,PAS,Waltham Forest,"""Good Job"" local",0.71,0.67
926,12/31/2015,PAS,Wandsworth,"""Good Job"" local",0.67,0.67
927,12/31/2015,PAS,City of Westminster,"""Good Job"" local",0.8,0.67
928,12/31/2015,PAS,Barking and Dagenham,Contact ward officer,0.29,0.38
929,12/31/2015,PAS,Barnet,Contact ward officer,0.33,0.38
930,12/31/2015,PAS,Bexley,Contact ward officer,0.3,0.38
931,12/31/2015,PAS,Brent,Contact ward officer,0.48,0.38
932,12/31/2015,PAS,Bromley,Contact ward officer,0.37,0.38
933,12/31/2015,PAS,Camden,Contact ward officer,0.41,0.38
934,12/31/2015,PAS,Croydon,Contact ward officer,0.26,0.38
935,12/31/2015,PAS,Ealing,Contact ward officer,0.43,0.38
936,12/31/2015,PAS,Enfield,Contact ward officer,0.41,0.38
937,12/31/2015,PAS,Greenwich,Contact ward officer,0.48,0.38
938,12/31/2015,PAS,Hackney,Contact ward officer,0.47,0.38
939,12/31/2015,PAS,Hammersmith and Fulham,Contact ward officer,0.32,0.38
940,12/31/2015,PAS,Haringey,Contact ward officer,0.5,0.38
941,12/31/2015,PAS,Harrow,Contact ward officer,0.41,0.38
942,12/31/2015,PAS,Havering,Contact ward officer,0.28,0.38
943,12/31/2015,PAS,Hillingdon,Contact ward officer,0.48,0.38
944,12/31/2015,PAS,Hounslow,Contact ward officer,0.41,0.38
945,12/31/2015,PAS,Islington,Contact ward officer,0.43,0.38
946,12/31/2015,PAS,Kensington and Chelsea,Contact ward officer,0.27,0.38
947,12/31/2015,PAS,Kingston upon Thames,Contact ward officer,0.47,0.38
948,12/31/2015,PAS,Lambeth,Contact ward officer,0.36,0.38
949,12/31/2015,PAS,Lewisham,Contact ward officer,0.45,0.38
950,12/31/2015,PAS,Merton,Contact ward officer,0.39,0.38
951,12/31/2015,PAS,Newham,Contact ward officer,0.39,0.38
952,12/31/2015,PAS,Redbridge,Contact ward officer,0.25,0.38
953,12/31/2015,PAS,Richmond upon Thames,Contact ward officer,0.51,0.38
954,12/31/2015,PAS,Southwark,Contact ward officer,0.36,0.38
955,12/31/2015,PAS,Sutton,Contact ward officer,0.38,0.38
956,12/31/2015,PAS,Tower Hamlets,Contact ward officer,0.39,0.38
957,12/31/2015,PAS,Waltham Forest,Contact ward officer,0.22,0.38
958,12/31/2015,PAS,Wandsworth,Contact ward officer,0.29,0.38
959,12/31/2015,PAS,City of Westminster,Contact ward officer,0.32,0.38
960,12/31/2015,PAS,Barking and Dagenham,Informed local,0.44,0.43
961,12/31/2015,PAS,Barnet,Informed local,0.39,0.43
962,12/31/2015,PAS,Bexley,Informed local,0.5,0.43
963,12/31/2015,PAS,Brent,Informed local,0.42,0.43
964,12/31/2015,PAS,Bromley,Informed local,0.54,0.43
965,12/31/2015,PAS,Camden,Informed local,0.39,0.43
966,12/31/2015,PAS,Croydon,Informed local,0.38,0.43
967,12/31/2015,PAS,Ealing,Informed local,0.42,0.43
968,12/31/2015,PAS,Enfield,Informed local,0.35,0.43
969,12/31/2015,PAS,Greenwich,Informed local,0.51,0.43
970,12/31/2015,PAS,Hackney,Informed local,0.44,0.43
971,12/31/2015,PAS,Hammersmith and Fulham,Informed local,0.51,0.43
972,12/31/2015,PAS,Haringey,Informed local,0.43,0.43
973,12/31/2015,PAS,Harrow,Informed local,0.43,0.43
974,12/31/2015,PAS,Havering,Informed local,0.43,0.43
975,12/31/2015,PAS,Hillingdon,Informed local,0.49,0.43
976,12/31/2015,PAS,Hounslow,Informed local,0.42,0.43
977,12/31/2015,PAS,Islington,Informed local,0.49,0.43
978,12/31/2015,PAS,Kensington and Chelsea,Informed local,0.41,0.43
979,12/31/2015,PAS,Kingston upon Thames,Informed local,0.49,0.43
980,12/31/2015,PAS,Lambeth,Informed local,0.44,0.43
981,12/31/2015,PAS,Lewisham,Informed local,0.36,0.43
982,12/31/2015,PAS,Merton,Informed local,0.4,0.43
983,12/31/2015,PAS,Newham,Informed local,0.37,0.43
984,12/31/2015,PAS,Redbridge,Informed local,0.35,0.43
985,12/31/2015,PAS,Richmond upon Thames,Informed local,0.56,0.43
986,12/31/2015,PAS,Southwark,Informed local,0.38,0.43
987,12/31/2015,PAS,Sutton,Informed local,0.51,0.43
988,12/31/2015,PAS,Tower Hamlets,Informed local,0.48,0.43
989,12/31/2015,PAS,Waltham Forest,Informed local,0.38,0.43
990,12/31/2015,PAS,Wandsworth,Informed local,0.4,0.43
991,12/31/2015,PAS,City of Westminster,Informed local,0.53,0.43
992,12/31/2015,PAS,Barking and Dagenham,Listen to concerns,0.72,0.73
993,12/31/2015,PAS,Barnet,Listen to concerns,0.75,0.73
994,12/31/2015,PAS,Bexley,Listen to concerns,0.75,0.73
995,12/31/2015,PAS,Brent,Listen to concerns,0.66,0.73
996,12/31/2015,PAS,Bromley,Listen to concerns,0.72,0.73
997,12/31/2015,PAS,Camden,Listen to concerns,0.77,0.73
998,12/31/2015,PAS,Croydon,Listen to concerns,0.7,0.73
999,12/31/2015,PAS,Ealing,Listen to concerns,0.68,0.73
1000,12/31/2015,PAS,Enfield,Listen to concerns,0.62,0.73
1001,12/31/2015,PAS,Greenwich,Listen to concerns,0.8,0.73
1002,12/31/2015,PAS,Hackney,Listen to concerns,0.77,0.73
1003,12/31/2015,PAS,Hammersmith and Fulham,Listen to concerns,0.79,0.73
1004,12/31/2015,PAS,Haringey,Listen to concerns,0.78,0.73
1005,12/31/2015,PAS,Harrow,Listen to concerns,0.66,0.73
1006,12/31/2015,PAS,Havering,Listen to concerns,0.74,0.73
1007,12/31/2015,PAS,Hillingdon,Listen to concerns,0.66,0.73
1008,12/31/2015,PAS,Hounslow,Listen to concerns,0.68,0.73
1009,12/31/2015,PAS,Islington,Listen to concerns,0.8,0.73
1010,12/31/2015,PAS,Kensington and Chelsea,Listen to concerns,0.79,0.73
1011,12/31/2015,PAS,Kingston upon Thames,Listen to concerns,0.77,0.73
1012,12/31/2015,PAS,Lambeth,Listen to concerns,0.67,0.73
1013,12/31/2015,PAS,Lewisham,Listen to concerns,0.73,0.73
1014,12/31/2015,PAS,Merton,Listen to concerns,0.73,0.73
1015,12/31/2015,PAS,Newham,Listen to concerns,0.75,0.73
1016,12/31/2015,PAS,Redbridge,Listen to concerns,0.76,0.73
1017,12/31/2015,PAS,Richmond upon Thames,Listen to concerns,0.76,0.73
1018,12/31/2015,PAS,Southwark,Listen to concerns,0.79,0.73
1019,12/31/2015,PAS,Sutton,Listen to concerns,0.8,0.73
1020,12/31/2015,PAS,Tower Hamlets,Listen to concerns,0.75,0.73
1021,12/31/2015,PAS,Waltham Forest,Listen to concerns,0.77,0.73
1022,12/31/2015,PAS,Wandsworth,Listen to concerns,0.7,0.73
1023,12/31/2015,PAS,City of Westminster,Listen to concerns,0.83,0.73
1024,12/31/2015,PAS,Barking and Dagenham,Relied on to be there,0.72,0.77
1025,12/31/2015,PAS,Barnet,Relied on to be there,0.78,0.77
1026,12/31/2015,PAS,Bexley,Relied on to be there,0.81,0.77
1027,12/31/2015,PAS,Brent,Relied on to be there,0.73,0.77
1028,12/31/2015,PAS,Bromley,Relied on to be there,0.79,0.77
1029,12/31/2015,PAS,Camden,Relied on to be there,0.8,0.77
1030,12/31/2015,PAS,Croydon,Relied on to be there,0.71,0.77
1031,12/31/2015,PAS,Ealing,Relied on to be there,0.76,0.77
1032,12/31/2015,PAS,Enfield,Relied on to be there,0.67,0.77
1033,12/31/2015,PAS,Greenwich,Relied on to be there,0.79,0.77
1034,12/31/2015,PAS,Hackney,Relied on to be there,0.76,0.77
1035,12/31/2015,PAS,Hammersmith and Fulham,Relied on to be there,0.84,0.77
1036,12/31/2015,PAS,Haringey,Relied on to be there,0.68,0.77
1037,12/31/2015,PAS,Harrow,Relied on to be there,0.75,0.77
1038,12/31/2015,PAS,Havering,Relied on to be there,0.76,0.77
1039,12/31/2015,PAS,Hillingdon,Relied on to be there,0.71,0.77
1040,12/31/2015,PAS,Hounslow,Relied on to be there,0.78,0.77
1041,12/31/2015,PAS,Islington,Relied on to be there,0.83,0.77
1042,12/31/2015,PAS,Kensington and Chelsea,Relied on to be there,0.86,0.77
1043,12/31/2015,PAS,Kingston upon Thames,Relied on to be there,0.78,0.77
1044,12/31/2015,PAS,Lambeth,Relied on to be there,0.74,0.77
1045,12/31/2015,PAS,Lewisham,Relied on to be there,0.74,0.77
1046,12/31/2015,PAS,Merton,Relied on to be there,0.74,0.77
1047,12/31/2015,PAS,Newham,Relied on to be there,0.8,0.77
1048,12/31/2015,PAS,Redbridge,Relied on to be there,0.81,0.77
1049,12/31/2015,PAS,Richmond upon Thames,Relied on to be there,0.8,0.77
1050,12/31/2015,PAS,Southwark,Relied on to be there,0.82,0.77
1051,12/31/2015,PAS,Sutton,Relied on to be there,0.79,0.77
1052,12/31/2015,PAS,Tower Hamlets,Relied on to be there,0.78,0.77
1053,12/31/2015,PAS,Waltham Forest,Relied on to be there,0.76,0.77
1054,12/31/2015,PAS,Wandsworth,Relied on to be there,0.75,0.77
1055,12/31/2015,PAS,City of Westminster,Relied on to be there,0.87,0.77
1056,12/31/2015,PAS,Barking and Dagenham,Treat everyone fairly,0.76,0.75
1057,12/31/2015,PAS,Barnet,Treat everyone fairly,0.82,0.75
1058,12/31/2015,PAS,Bexley,Treat everyone fairly,0.79,0.75
1059,12/31/2015,PAS,Brent,Treat everyone fairly,0.69,0.75
1060,12/31/2015,PAS,Bromley,Treat everyone fairly,0.81,0.75
1061,12/31/2015,PAS,Camden,Treat everyone fairly,0.74,0.75
1062,12/31/2015,PAS,Croydon,Treat everyone fairly,0.69,0.75
1063,12/31/2015,PAS,Ealing,Treat everyone fairly,0.71,0.75
1064,12/31/2015,PAS,Enfield,Treat everyone fairly,0.72,0.75
1065,12/31/2015,PAS,Greenwich,Treat everyone fairly,0.83,0.75
1066,12/31/2015,PAS,Hackney,Treat everyone fairly,0.61,0.75
1067,12/31/2015,PAS,Hammersmith and Fulham,Treat everyone fairly,0.8,0.75
1068,12/31/2015,PAS,Haringey,Treat everyone fairly,0.69,0.75
1069,12/31/2015,PAS,Harrow,Treat everyone fairly,0.81,0.75
1070,12/31/2015,PAS,Havering,Treat everyone fairly,0.82,0.75
1071,12/31/2015,PAS,Hillingdon,Treat everyone fairly,0.74,0.75
1072,12/31/2015,PAS,Hounslow,Treat everyone fairly,0.75,0.75
1073,12/31/2015,PAS,Islington,Treat everyone fairly,0.77,0.75
1074,12/31/2015,PAS,Kensington and Chelsea,Treat everyone fairly,0.75,0.75
1075,12/31/2015,PAS,Kingston upon Thames,Treat everyone fairly,0.73,0.75
1076,12/31/2015,PAS,Lambeth,Treat everyone fairly,0.65,0.75
1077,12/31/2015,PAS,Lewisham,Treat everyone fairly,0.72,0.75
1078,12/31/2015,PAS,Merton,Treat everyone fairly,0.67,0.75
1079,12/31/2015,PAS,Newham,Treat everyone fairly,0.79,0.75
1080,12/31/2015,PAS,Redbridge,Treat everyone fairly,0.82,0.75
1081,12/31/2015,PAS,Richmond upon Thames,Treat everyone fairly,0.76,0.75
1082,12/31/2015,PAS,Southwark,Treat everyone fairly,0.71,0.75
1083,12/31/2015,PAS,Sutton,Treat everyone fairly,0.72,0.75
1084,12/31/2015,PAS,Tower Hamlets,Treat everyone fairly,0.77,0.75
1085,12/31/2015,PAS,Waltham Forest,Treat everyone fairly,0.77,0.75
1086,12/31/2015,PAS,Wandsworth,Treat everyone fairly,0.68,0.75
1087,12/31/2015,PAS,City of Westminster,Treat everyone fairly,0.77,0.75
1088,12/31/2015,PAS,Barking and Dagenham,Understand issues,0.72,0.71
1089,12/31/2015,PAS,Barnet,Understand issues,0.66,0.71
1090,12/31/2015,PAS,Bexley,Understand issues,0.74,0.71
1091,12/31/2015,PAS,Brent,Understand issues,0.64,0.71
1092,12/31/2015,PAS,Bromley,Understand issues,0.68,0.71
1093,12/31/2015,PAS,Camden,Understand issues,0.77,0.71
1094,12/31/2015,PAS,Croydon,Understand issues,0.64,0.71
1095,12/31/2015,PAS,Ealing,Understand issues,0.68,0.71
1096,12/31/2015,PAS,Enfield,Understand issues,0.56,0.71
1097,12/31/2015,PAS,Greenwich,Understand issues,0.78,0.71
1098,12/31/2015,PAS,Hackney,Understand issues,0.74,0.71
1099,12/31/2015,PAS,Hammersmith and Fulham,Understand issues,0.75,0.71
1100,12/31/2015,PAS,Haringey,Understand issues,0.72,0.71
1101,12/31/2015,PAS,Harrow,Understand issues,0.64,0.71
1102,12/31/2015,PAS,Havering,Understand issues,0.74,0.71
1103,12/31/2015,PAS,Hillingdon,Understand issues,0.68,0.71
1104,12/31/2015,PAS,Hounslow,Understand issues,0.66,0.71
1105,12/31/2015,PAS,Islington,Understand issues,0.83,0.71
1106,12/31/2015,PAS,Kensington and Chelsea,Understand issues,0.77,0.71
1107,12/31/2015,PAS,Kingston upon Thames,Understand issues,0.74,0.71
1108,12/31/2015,PAS,Lambeth,Understand issues,0.65,0.71
1109,12/31/2015,PAS,Lewisham,Understand issues,0.69,0.71
1110,12/31/2015,PAS,Merton,Understand issues,0.63,0.71
1111,12/31/2015,PAS,Newham,Understand issues,0.75,0.71
1112,12/31/2015,PAS,Redbridge,Understand issues,0.7,0.71
1113,12/31/2015,PAS,Richmond upon Thames,Understand issues,0.72,0.71
1114,12/31/2015,PAS,Southwark,Understand issues,0.79,0.71
1115,12/31/2015,PAS,Sutton,Understand issues,0.75,0.71
1116,12/31/2015,PAS,Tower Hamlets,Understand issues,0.74,0.71
1117,12/31/2015,PAS,Waltham Forest,Understand issues,0.74,0.71
1118,12/31/2015,PAS,Wandsworth,Understand issues,0.67,0.71
1119,12/31/2015,PAS,City of Westminster,Understand issues,0.82,0.71
1120,3/31/2016,PAS,Barking and Dagenham,"""Good Job"" local",0.68,0.68
1121,3/31/2016,PAS,Barnet,"""Good Job"" local",0.67,0.68
1122,3/31/2016,PAS,Bexley,"""Good Job"" local",0.76,0.68
1123,3/31/2016,PAS,Brent,"""Good Job"" local",0.63,0.68
1124,3/31/2016,PAS,Bromley,"""Good Job"" local",0.7,0.68
1125,3/31/2016,PAS,Camden,"""Good Job"" local",0.7,0.68
1126,3/31/2016,PAS,Croydon,"""Good Job"" local",0.62,0.68
1127,3/31/2016,PAS,Ealing,"""Good Job"" local",0.63,0.68
1128,3/31/2016,PAS,Enfield,"""Good Job"" local",0.57,0.68
1129,3/31/2016,PAS,Greenwich,"""Good Job"" local",0.65,0.68
1130,3/31/2016,PAS,Hackney,"""Good Job"" local",0.64,0.68
1131,3/31/2016,PAS,Hammersmith and Fulham,"""Good Job"" local",0.79,0.68
1132,3/31/2016,PAS,Haringey,"""Good Job"" local",0.55,0.68
1133,3/31/2016,PAS,Harrow,"""Good Job"" local",0.57,0.68
1134,3/31/2016,PAS,Havering,"""Good Job"" local",0.72,0.68
1135,3/31/2016,PAS,Hillingdon,"""Good Job"" local",0.6,0.68
1136,3/31/2016,PAS,Hounslow,"""Good Job"" local",0.63,0.68
1137,3/31/2016,PAS,Islington,"""Good Job"" local",0.71,0.68
1138,3/31/2016,PAS,Kensington and Chelsea,"""Good Job"" local",0.81,0.68
1139,3/31/2016,PAS,Kingston upon Thames,"""Good Job"" local",0.74,0.68
1140,3/31/2016,PAS,Lambeth,"""Good Job"" local",0.7,0.68
1141,3/31/2016,PAS,Lewisham,"""Good Job"" local",0.66,0.68
1142,3/31/2016,PAS,Merton,"""Good Job"" local",0.68,0.68
1143,3/31/2016,PAS,Newham,"""Good Job"" local",0.67,0.68
1144,3/31/2016,PAS,Redbridge,"""Good Job"" local",0.7,0.68
1145,3/31/2016,PAS,Richmond upon Thames,"""Good Job"" local",0.77,0.68
1146,3/31/2016,PAS,Southwark,"""Good Job"" local",0.7,0.68
1147,3/31/2016,PAS,Sutton,"""Good Job"" local",0.75,0.68
1148,3/31/2016,PAS,Tower Hamlets,"""Good Job"" local",0.67,0.68
1149,3/31/2016,PAS,Waltham Forest,"""Good Job"" local",0.7,0.68
1150,3/31/2016,PAS,Wandsworth,"""Good Job"" local",0.7,0.68
1151,3/31/2016,PAS,City of Westminster,"""Good Job"" local",0.82,0.68
1152,3/31/2016,PAS,Barking and Dagenham,Contact ward officer,0.32,0.36
1153,3/31/2016,PAS,Barnet,Contact ward officer,0.36,0.36
1154,3/31/2016,PAS,Bexley,Contact ward officer,0.28,0.36
1155,3/31/2016,PAS,Brent,Contact ward officer,0.46,0.36
1156,3/31/2016,PAS,Bromley,Contact ward officer,0.29,0.36
1157,3/31/2016,PAS,Camden,Contact ward officer,0.42,0.36
1158,3/31/2016,PAS,Croydon,Contact ward officer,0.2,0.36
1159,3/31/2016,PAS,Ealing,Contact ward officer,0.42,0.36
1160,3/31/2016,PAS,Enfield,Contact ward officer,0.42,0.36
1161,3/31/2016,PAS,Greenwich,Contact ward officer,0.41,0.36
1162,3/31/2016,PAS,Hackney,Contact ward officer,0.47,0.36
1163,3/31/2016,PAS,Hammersmith and Fulham,Contact ward officer,0.28,0.36
1164,3/31/2016,PAS,Haringey,Contact ward officer,0.47,0.36
1165,3/31/2016,PAS,Harrow,Contact ward officer,0.44,0.36
1166,3/31/2016,PAS,Havering,Contact ward officer,0.26,0.36
1167,3/31/2016,PAS,Hillingdon,Contact ward officer,0.47,0.36
1168,3/31/2016,PAS,Hounslow,Contact ward officer,0.39,0.36
1169,3/31/2016,PAS,Islington,Contact ward officer,0.39,0.36
1170,3/31/2016,PAS,Kensington and Chelsea,Contact ward officer,0.23,0.36
1171,3/31/2016,PAS,Kingston upon Thames,Contact ward officer,0.46,0.36
1172,3/31/2016,PAS,Lambeth,Contact ward officer,0.3,0.36
1173,3/31/2016,PAS,Lewisham,Contact ward officer,0.39,0.36
1174,3/31/2016,PAS,Merton,Contact ward officer,0.34,0.36
1175,3/31/2016,PAS,Newham,Contact ward officer,0.31,0.36
1176,3/31/2016,PAS,Redbridge,Contact ward officer,0.3,0.36
1177,3/31/2016,PAS,Richmond upon Thames,Contact ward officer,0.48,0.36
1178,3/31/2016,PAS,Southwark,Contact ward officer,0.31,0.36
1179,3/31/2016,PAS,Sutton,Contact ward officer,0.4,0.36
1180,3/31/2016,PAS,Tower Hamlets,Contact ward officer,0.38,0.36
1181,3/31/2016,PAS,Waltham Forest,Contact ward officer,0.25,0.36
1182,3/31/2016,PAS,Wandsworth,Contact ward officer,0.29,0.36
1183,3/31/2016,PAS,City of Westminster,Contact ward officer,0.25,0.36
1184,3/31/2016,PAS,Barking and Dagenham,Informed local,0.43,0.42
1185,3/31/2016,PAS,Barnet,Informed local,0.41,0.42
1186,3/31/2016,PAS,Bexley,Informed local,0.53,0.42
1187,3/31/2016,PAS,Brent,Informed local,0.42,0.42
1188,3/31/2016,PAS,Bromley,Informed local,0.5,0.42
1189,3/31/2016,PAS,Camden,Informed local,0.4,0.42
1190,3/31/2016,PAS,Croydon,Informed local,0.36,0.42
1191,3/31/2016,PAS,Ealing,Informed local,0.44,0.42
1192,3/31/2016,PAS,Enfield,Informed local,0.37,0.42
1193,3/31/2016,PAS,Greenwich,Informed local,0.46,0.42
1194,3/31/2016,PAS,Hackney,Informed local,0.42,0.42
1195,3/31/2016,PAS,Hammersmith and Fulham,Informed local,0.43,0.42
1196,3/31/2016,PAS,Haringey,Informed local,0.42,0.42
1197,3/31/2016,PAS,Harrow,Informed local,0.43,0.42
1198,3/31/2016,PAS,Havering,Informed local,0.4,0.42
1199,3/31/2016,PAS,Hillingdon,Informed local,0.49,0.42
1200,3/31/2016,PAS,Hounslow,Informed local,0.41,0.42
1201,3/31/2016,PAS,Islington,Informed local,0.43,0.42
1202,3/31/2016,PAS,Kensington and Chelsea,Informed local,0.38,0.42
1203,3/31/2016,PAS,Kingston upon Thames,Informed local,0.49,0.42
1204,3/31/2016,PAS,Lambeth,Informed local,0.43,0.42
1205,3/31/2016,PAS,Lewisham,Informed local,0.35,0.42
1206,3/31/2016,PAS,Merton,Informed local,0.35,0.42
1207,3/31/2016,PAS,Newham,Informed local,0.37,0.42
1208,3/31/2016,PAS,Redbridge,Informed local,0.37,0.42
1209,3/31/2016,PAS,Richmond upon Thames,Informed local,0.56,0.42
1210,3/31/2016,PAS,Southwark,Informed local,0.4,0.42
1211,3/31/2016,PAS,Sutton,Informed local,0.45,0.42
1212,3/31/2016,PAS,Tower Hamlets,Informed local,0.44,0.42
1213,3/31/2016,PAS,Waltham Forest,Informed local,0.34,0.42
1214,3/31/2016,PAS,Wandsworth,Informed local,0.38,0.42
1215,3/31/2016,PAS,City of Westminster,Informed local,0.48,0.42
1216,3/31/2016,PAS,Barking and Dagenham,Listen to concerns,0.76,0.74
1217,3/31/2016,PAS,Barnet,Listen to concerns,0.74,0.74
1218,3/31/2016,PAS,Bexley,Listen to concerns,0.75,0.74
1219,3/31/2016,PAS,Brent,Listen to concerns,0.66,0.74
1220,3/31/2016,PAS,Bromley,Listen to concerns,0.75,0.74
1221,3/31/2016,PAS,Camden,Listen to concerns,0.82,0.74
1222,3/31/2016,PAS,Croydon,Listen to concerns,0.72,0.74
1223,3/31/2016,PAS,Ealing,Listen to concerns,0.67,0.74
1224,3/31/2016,PAS,Enfield,Listen to concerns,0.67,0.74
1225,3/31/2016,PAS,Greenwich,Listen to concerns,0.79,0.74
1226,3/31/2016,PAS,Hackney,Listen to concerns,0.79,0.74
1227,3/31/2016,PAS,Hammersmith and Fulham,Listen to concerns,0.81,0.74
1228,3/31/2016,PAS,Haringey,Listen to concerns,0.78,0.74
1229,3/31/2016,PAS,Harrow,Listen to concerns,0.6,0.74
1230,3/31/2016,PAS,Havering,Listen to concerns,0.73,0.74
1231,3/31/2016,PAS,Hillingdon,Listen to concerns,0.59,0.74
1232,3/31/2016,PAS,Hounslow,Listen to concerns,0.65,0.74
1233,3/31/2016,PAS,Islington,Listen to concerns,0.82,0.74
1234,3/31/2016,PAS,Kensington and Chelsea,Listen to concerns,0.81,0.74
1235,3/31/2016,PAS,Kingston upon Thames,Listen to concerns,0.76,0.74
1236,3/31/2016,PAS,Lambeth,Listen to concerns,0.7,0.74
1237,3/31/2016,PAS,Lewisham,Listen to concerns,0.73,0.74
1238,3/31/2016,PAS,Merton,Listen to concerns,0.72,0.74
1239,3/31/2016,PAS,Newham,Listen to concerns,0.76,0.74
1240,3/31/2016,PAS,Redbridge,Listen to concerns,0.76,0.74
1241,3/31/2016,PAS,Richmond upon Thames,Listen to concerns,0.74,0.74
1242,3/31/2016,PAS,Southwark,Listen to concerns,0.81,0.74
1243,3/31/2016,PAS,Sutton,Listen to concerns,0.8,0.74
1244,3/31/2016,PAS,Tower Hamlets,Listen to concerns,0.77,0.74
1245,3/31/2016,PAS,Waltham Forest,Listen to concerns,0.75,0.74
1246,3/31/2016,PAS,Wandsworth,Listen to concerns,0.68,0.74
1247,3/31/2016,PAS,City of Westminster,Listen to concerns,0.85,0.74
1248,3/31/2016,PAS,Barking and Dagenham,Relied on to be there,0.74,0.77
